Fecha valor,Fecha de operación,Importe,Moneda,Concepto,Entidad,Nombre de producto,Tipo de producto,Tipo de movimiento,Categoría,Nota
27/04/22,27/04/22,"100,00",EUR,Transferencia recibida de a.e.a.t. devoluciones tributarias aeat apl:abono antic dedu familiares-fng22mod:143inf:familia numerosa gen 03-2022 exp:2022dev14329420096f aeat,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Devolución impuestos,Aeat apl:abono antic dedu familiares-fng22mod:143inf:familia numerosa gen 03-2022 exp:2022dev14329420096f aeat
27/04/22,,"-86,38",EUR,Pago en mi casa alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Autorizacion
27/04/22,,"-12,19",EUR,Pago en mercadona ensanche,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
27/04/22,,"-57,43",EUR,Pago en estacion servicio meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
27/04/22,,"-9,99",EUR,Spotifyes p1b209289b,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Servicios y productos online,
27/04/22,,"-35,00",EUR,Plan pro 2022,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Asesores y abogados,
27/04/22,,"-35,00",EUR,Plan pro 2022,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Asesores y abogados,
26/04/22,,"-24,08",EUR,Cafeteria vips beatriz,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Restaurante,
26/04/22,,"-3,65",EUR,Velazquez juan bravo,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Parking y peaje,
25/04/22,,"-4,00",EUR,Pago en farmacia carrefour alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
25/04/22,,"-350,00",EUR,Ceramicos brihuega,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Hogar,
25/04/22,,"-42,60",EUR,Amzn mktp es*2p2oe2pr4,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Otras compras,
24/04/22,,"-17,26",EUR,Pago en fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
23/04/22,23/04/22,"4.169,38",EUR,"Nomina recibida audatex datos espana,sa",Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Nómina,Nomina/pid/04/a81246753000
23/04/22,,"-165,00",EUR,O'bogavante,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Restaurante,
23/04/22,,"-135,29",EUR,Avda union europea,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
22/04/22,,"-19,72",EUR,Pago en fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
22/04/22,,"-7,07",EUR,Lidl alcala la dehesa,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
22/04/22,,"-303,00",EUR,Luz alcala,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Hogar,Lamparas
22/04/22,,"-9,08",EUR,Leroy merlin alcala,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Hogar,
21/04/22,,"-20,00",EUR,Pago en crc caracense,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Ayuntamiento,Autorizacion
21/04/22,,"-71,98",EUR,Pago en mi casa alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Autorizacion
21/04/22,,"-90,00",EUR,Pago en erikamedica,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Médico,Autorizacion
20/04/22,,"-139,05",EUR,Pago en eurovia alcala,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Estudios,Autorizacion
20/04/22,,"-3,75",EUR,Pago en fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
20/04/22,,"-10,91",EUR,Colegio de registradores,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Ayuntamiento,
19/04/22,19/04/22,"-61,09",EUR,Recibo vodafone,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Internet,Factura: yi22-005768684/
19/04/22,19/04/22,"-125,00",EUR,Transferencia emitida periódica,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Transferencia universidad
19/04/22,19/04/22,"-474,22",EUR,Recibo tasacion servatas,Kutxabank,cuenta ahorro,Cuenta,Gasto,Otros vivienda,
19/04/22,19/04/22,"-125,00",EUR,Transferencia emitida a javier hernando plazas becerra tasación casa,Ing Direct,Cuenta NÓMINA Cotitular Claudia - Compra Casa,Cuenta,No computable,Traspasos y transferencias,Tasación casa
19/04/22,,"-5,20",EUR,Pago en p.segado. alpedrete,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Restaurante,Autorizacion
19/04/22,19/04/22,"125,00",EUR,Transf. javier hernando plazas be,Kutxabank,cuenta ahorro,Cuenta,No computable,Traspasos y transferencias,
18/04/22,,"-56,38",EUR,Pago en estacion servicio meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
18/04/22,,"48,00",EUR,Abono en gofer hogar sl.,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Autorizacion
18/04/22,,"-20,00",EUR,Erikamedica,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Médico,
17/04/22,,"-1,90",EUR,Atpseitt m-50n->meco,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Parking y peaje,
16/04/22,,"-44,41",EUR,Pago en e3056 alcala henares - c/,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
16/04/22,,"-54,99",EUR,Pago en sprinter alcala de henare,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Material deportivo,Autorizacion
16/04/22,,"-42,39",EUR,Pago en mi casa alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Autorizacion
16/04/22,,"-71,82",EUR,Avda union europea,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
16/04/22,,"1,33",EUR,Abono por campaña abono shopping naranja:galp,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Gasolina,Operacion
13/04/22,,"-59,50",EUR,Pago en ikea la gavia hfb,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Hogar,Autorizacion
13/04/22,,"-2,70",EUR,Pago en avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
13/04/22,,"3,95",EUR,Abono en avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
13/04/22,,"-32,82",EUR,Pago en avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
12/04/22,12/04/22,"-85,28",EUR,Univ.de alcala,ImaginBank,Antes cta .....2594,Cuenta,Gasto,Estudios,Alcalaaca0114059
12/04/22,,"-5,40",EUR,Pago en carnicas molinero,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
12/04/22,,"-48,00",EUR,Pago en gofer hogar sl.,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Autorizacion
11/04/22,11/04/22,"-242,87",EUR,"Recibo volkswagen bank, gmbh s.e.",Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Compra vehículo,"Vcto. 09/04/2022, contrato: 01fi50031252,atencion cliente volkswagen bank : 914279900,el pago de este recibo no implica pagos anteriores."
11/04/22,,"-11,99",EUR,Pago en hpi instant ink spain,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Electrónica,Autorizacion
11/04/22,,"-28,99",EUR,Pago en tramas mas la dehesa alcala de hen,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Operacion
9/04/22,9/04/22,"-90,00",EUR,Reintegro efectivo tarjeta la caixa 4045 meco es,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Efectivo,La caixa 4045 meco es
9/04/22,,"-103,75",EUR,Pago en avda union europea meco,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Operacion
9/04/22,,"-41,67",EUR,Pago en women s secret torrejon de a,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Ropa,Operacion
9/04/22,,"-13,98",EUR,Pago en tramas la dehesa alcala de hen,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Hogar,Operacion
8/04/22,,"-1,90",EUR,Pago en atpseitt m 50n >meco madrid,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
8/04/22,,"-0,60",EUR,Pago en atpseitt aeropuert >aero madrid,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
8/04/22,,"-0,60",EUR,Pago en atpseitt alcobenda >alco madrid,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
8/04/22,,"-1,90",EUR,Pago en atpseitt meco >m 50n madrid,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
7/04/22,7/04/22,"-1.146,66",EUR,Amortización total de préstamo,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Préstamos,Amortización préstamo
7/04/22,7/04/22,"-7.746,41",EUR,Amortización total de préstamo,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Préstamos,Amortización préstamo
7/04/22,7/04/22,"26.000,00",EUR,Abono de préstamo,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Ingreso efectivo,Prestamo ing unificación de créditos 
7/04/22,,"-47,48",EUR,Pago en costco wholesale spain s,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
7/04/22,,"-50,00",EUR,Pago en erikamedica,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Médico,Autorizacion
7/04/22,,"-36,87",EUR,Pago en avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
7/04/22,,"-1,90",EUR,Pago en atpseitt m 50n >meco madrid,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
6/04/22,6/04/22,"-400,00",EUR,Traspaso periódico emitido nómina,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Spo to 2700287602
6/04/22,6/04/22,"400,00",EUR,Traspaso periódico recibido,Ing Direct,Imprevistos,Cuenta,No computable,Traspasos y transferencias,Spo from 1708097649
6/04/22,,"-10,82",EUR,Pago en fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
5/04/22,5/04/22,"-730,53",EUR,Cargo mensual tarjeta crédito,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Tarjeta crédito,Liq. tarjeta crédito : 0160001
4/04/22,4/04/22,"-350,00",EUR,Recibo fundacion colegio alborada,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Estudios,Cobro procedente de la factura 92344
4/04/22,4/04/22,"-23,14",EUR,Recibo endesa x servicios s.l.,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Electricidad,P-34319562
4/04/22,4/04/22,"-34,33",EUR,"Recibo banco cooperativo espanol, s.a.",Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Óptica y dentista,Recibo de pr stamo 2038754855 periodo: 01-03-2022 al 01-04-2022.para mayor informaci n consulte a la entidad emisora del recibo.
4/04/22,4/04/22,"-25,00",EUR,Transferencia emitida a sandra martin natalia plazas abril 2022,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Deporte,Natalia plazas abril 2022
4/04/22,4/04/22,"-96,00",EUR,Transferencia bizum emitida,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Estudios,Clases luly marzo 2022
4/04/22,,"-34,94",EUR,Pago en decathlon alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Material deportivo,Autorizacion
3/04/22,3/04/22,"-136,44",EUR,Cargo cuota de préstamo,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Préstamos,Cargo cuota préstamo 7715027306/21
3/04/22,3/04/22,"-90,23",EUR,Cargo cuota de préstamo,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Préstamos,Cargo cuota préstamo 7712284698/35
2/04/22,2/04/22,"8,00",EUR,Transferencia bizum recibida,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Transferencias,Sin concepto
2/04/22,2/04/22,"-90,00",EUR,Reintegro efectivo tarjeta la caixa 4045 meco es,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Efectivo,La caixa 4045 meco es
2/04/22,,"-110,04",EUR,Avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
1/04/22,1/04/22,"-10,00",EUR,Adeudo recibo parroquia ntra. sra. del transito,Sabadell,CUENTA EXPANSIÓN,Cuenta,Gasto,Solidaridad,022901 039031473060000 01 p eur 02320139031473060000bsch057651722801000******0000
1/04/22,1/04/22,"0,24",EUR,Intereses a su favor,Ing Direct,Cuenta NARANJA,Cuenta,Ingreso,Rendimientos,
1/04/22,1/04/22,"0,02",EUR,Intereses a su favor,Ing Direct,Imprevistos,Cuenta,Ingreso,Rendimientos,
1/04/22,1/04/22,"-17,05",EUR,Recibo digi spain telecom sl,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Móvil,Factura digi
1/04/22,1/04/22,"-26,25",EUR,Recibo adeslas madrid,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Seguro salud,"Adeslas dental fam val:01.04.22-30.04.22 pneta:26,21 mes. clea:0,04 ips:0,00 copagos:0,00 poliza:282145990/0"
1/04/22,1/04/22,"-13,24",EUR,Recibo metlife europe designated activitycompany,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Seguro vida,002021732******4251p:2203014569 p.net 12.20 con 0.04 clea 0.02 ips 0.98 mes vto 010422 politica privacidad www.metlife.es 900201040
1/04/22,,"-1,90",EUR,Pago en atpseitt m 50n >meco madrid,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
31/03/22,31/03/22,"1.894,70",EUR,Nomina recibida h. principe de asturias,Ing Direct,Cuenta NÓMINA Cotitular Claudia - Compra Casa,Cuenta,Ingreso,Nómina,Paga: actual mas atrasos
31/03/22,31/03/22,"-635,79",EUR,Recibo wizink bank s.a.u.,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Tarjeta crédito,Pago mensual tarjeta 5267xxxxxxxx3740 liquidacion al dia : 29.03.2022
31/03/22,31/03/22,"350,00",EUR,Transf. javier hernando plazas be,Kutxabank,cuenta ahorro,Cuenta,No computable,Traspasos y transferencias,
31/03/22,,"635,79",EUR,Pago recibo mes anterior,Wizink,WiZink Oro,Tarjeta de crédito,No computable,Tarjeta crédito,
31/03/22,31/03/22,"-20,00",EUR,Ingreso fondos-planes,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Otros ingresos,Aportaciones al plan: 4103616046-15-20
31/03/22,31/03/22,"-350,00",EUR,Transferencia emitida a javier hernando plazas becerra provisión tasacion kutxabank,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Provisión tasacion kutxabank
31/03/22,,"-35,00",EUR,Pago en manuel lafuente,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Estudios,Autorizacion
31/03/22,,"-120,00",EUR,Pago en erikamedica,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Médico,Autorizacion
31/03/22,,"-36,00",EUR,Amazon prime*298e14pr4,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Otras compras,
29/03/22,29/03/22,"-5,58",EUR,Transferencia bizum emitida,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Transferencias,Claudia buendia
29/03/22,,"-62,52",EUR,Pago en estacion servicio meco alameda,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Gasolina,Operacion
29/03/22,,"-3,64",EUR,Pago en registro de la propiedad meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Comunidad,Operacion
29/03/22,,"-15,90",EUR,Pago en tintoreria urbanclean meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Restaurante,Operacion
29/03/22,,"-16,80",EUR,Pago en las cuatro reglas meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Restaurante,Operacion
28/03/22,28/03/22,"-300,00",EUR,Transferencia emitida a maría garcia ramos regalo a los novios claudia y javier,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Regalos,Regalo a los novios claudia y javier
28/03/22,,"-23,37",EUR,Pago en fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
27/03/22,,"-25,47",EUR,"Costco wholesale spain, s",Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Restaurante,
27/03/22,,"-181,97",EUR,"Costco wholesale spain, s",Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
27/03/22,,"-100,00",EUR,Costco gasolinera getafe,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Gasolina,
27/03/22,,"-11,95",EUR,Costco gasolinera getafe,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Gasolina,
27/03/22,,"-6,90",EUR,Fusion cafe y panaderia,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Restaurante,
27/03/22,,"-9,99",EUR,Spotifyes p1a900232d,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Otras compras,
26/03/22,26/03/22,"100,00",EUR,Transferencia recibida de a.e.a.t. devoluciones tributarias aeat apl:abono antic dedu familiares-fng22mod:143inf:familia numerosa gen 02-2022 exp:2022dev14329420052m aeat,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Devolución impuestos,Aeat apl:abono antic dedu familiares-fng22mod:143inf:familia numerosa gen 02-2022 exp:2022dev14329420052m aeat
26/03/22,,"-34,00",EUR,Viena estilistas,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Belleza,Autorizacion
26/03/22,,"-30,21",EUR,Avda union europea,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
26/03/22,,"-0,95",EUR,Seitt-r3r5tronco vicalvar,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Parking y peaje,
25/03/22,,"-9,70",EUR,Pasteleria riquelme,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Restaurante,
25/03/22,,"-153,00",EUR,Camapolis,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Hogar,
24/03/22,24/03/22,"3.811,38",EUR,"Nomina recibida audatex datos espana, s.a.",Ing Direct,Cuenta NÓMINA Principal,Cuenta,Ingreso,Nómina,
24/03/22,24/03/22,"-15,00",EUR,Intereses y/o comisiones,Sabadell,CUENTA EXPANSIÓN,Cuenta,Gasto,Cargos bancarios,
24/03/22,,"-36,73",EUR,Mercadona cc alcala magna,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
23/03/22,,"-4,80",EUR,Copytema,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Librería,Autorizacion
23/03/22,,"-2,60",EUR,Bombon boss alcala de h,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Restaurante,Autorizacion
22/03/22,,"-22,19",EUR,Avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
21/03/22,21/03/22,"-59,99",EUR,Recibo vodafone,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Internet,Factura: yi22-004142482/
21/03/22,21/03/22,"-125,00",EUR,Transferencia emitida periódica,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Transferencia universidad
21/03/22,,"-5,20",EUR,Bombon boss alcala de h,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Ropa,Autorizacion
21/03/22,21/03/22,"125,00",EUR,Transfer - transferencia universidad,ImaginBank,Antes cta .....2594,Cuenta,No computable,Traspasos y transferencias,Origen: 14650100
19/03/22,,"-1,11",EUR,Carref alcala,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
19/03/22,,"-18,90",EUR,Fcia. garcia alonso,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Farmacia,
19/03/22,,"-88,34",EUR,Avda union europea,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
19/03/22,,"-11,31",EUR,5088 lidl alcal\ de he,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
18/03/22,,"-5,00",EUR,Delikia,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Restaurante,Autorizacion
18/03/22,,"-12,57",EUR,Avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
18/03/22,,"-35,42",EUR,Grupo ahorramas 1371,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Supermercado,
18/03/22,,"-1,90",EUR,Atpseitt m-50n->meco,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Parking y peaje,
17/03/22,,"-6,50",EUR,E3056 alcala henares - c/,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Mantenimiento vehículo,Autorizacion
17/03/22,,"-1,25",EUR,Fcia. garcia alonso,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
17/03/22,,"0,20",EUR,Abono por campaña abono shopping naranja:galp,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Gasolina,Operacion
16/03/22,16/03/22,"-51,50",EUR,Transferencia bizum emitida,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Hotel,San sebastian sofia
16/03/22,,"-23,75",EUR,Avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
16/03/22,15/03/22,"0,00",EUR,Liq. de int.hasta 15.03.22,Kutxabank,cuenta ahorro,Cuenta,Ingreso,Rendimientos,
15/03/22,,"-64,08",EUR,Estacion servicio meco,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
12/03/22,,"-77,47",EUR,Avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
12/03/22,,"-11,99",EUR,Hpi instant ink spain www.hp.com,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Servicios y productos online,Operacion
11/03/22,,"-5,45",EUR,Avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
11/03/22,,"-11,95",EUR,E.s. bp oyambre,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
11/03/22,,"-1,90",EUR,Atpseitt m 50n >meco madrid,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Parking y peaje,Operacion
10/03/22,,"-54,84",EUR,Avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
10/03/22,,"-95,75",EUR,Estacion servicio meco,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Gasolina,Autorizacion
10/03/22,,"-11,12",EUR,Estilo pontejos s.l.,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Belleza,Autorizacion
10/03/22,,"-9,95",EUR,Calzedonia alcala magna,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Ropa,Autorizacion
10/03/22,,"-40,05",EUR,Zara alcala cc.alc.magna,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Ropa,Autorizacion
9/03/22,9/03/22,"-242,87",EUR,"Recibo volkswagen bank, gmbh s.e.",Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Compra vehículo,"Vcto. 09/03/2022, contrato: 01fi50031252,atencion cliente volkswagen bank : 914279900,el pago de este recibo no implica pagos anteriores."
8/03/22,,"-10,75",EUR,Pepeleria libreria cervan,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Librería,Autorizacion
8/03/22,8/03/22,"-85,29",EUR,Univ.de alcala,ImaginBank,Antes cta .....2594,Cuenta,Gasto,Estudios,Alcalaaca0114059
7/03/22,7/03/22,"-35,80",EUR,Recibo ayuntamiento de meco,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Ayuntamiento,S.e.p. personas fisicas. plazo 1 de 5 de 2022 exp. 0000015394
7/03/22,,"-19,95",EUR,Farmacia carrefour alcala,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Farmacia,Autorizacion
